"","geography","largest_community","largest_community_pop","text_to_use","join_text","label_number"
"1","Clackamas","Portland",620589,"Portland (Clackamas): 620589","Portland, Clackamas",1
"2","Multnomah","Portland",620589,"Portland (Multnomah): 620589","Portland, Multnomah",2
"3","Washington","Portland",620589,"Portland (Washington): 620589","Portland, Washington",3
"4","Marion","Salem",161975,"Salem (Marion): 161975","Salem, Marion",4
"5","Polk","Salem",161975,"Salem (Polk): 161975","Salem, Polk",5
"6","Lane","Eugene",161649,"Eugene (Lane): 161649","Eugene, Lane",6
"7","Deschutes","Bend",84416,"Bend (Deschutes): 84416","Bend, Deschutes",7
"8","Jackson","Medford",78856,"Medford (Jackson): 78856","Medford, Jackson",8
"9","Benton","Corvallis",55766,"Corvallis (Benton): 55766","Corvallis, Benton",9
"10","Linn","Albany",51919,"Albany (Linn): 51919","Albany, Linn",10
"11","Josephine","Grants Pass",36776,"Grants Pass (Josephine): 36776","Grants Pass, Josephine",11
"12","Yamhill","McMinnville",33724,"McMinnville (Yamhill): 33724","McMinnville, Yamhill",12
"13","Douglas","Roseburg",22201,"Roseburg (Douglas): 22201","Roseburg, Douglas",13
"14","Klamath","Klamath Falls",21322,"Klamath Falls (Klamath): 21322","Klamath Falls, Klamath",14
"15","Umatilla","Hermiston",17150,"Hermiston (Umatilla): 17150","Hermiston, Umatilla",15
"16","Coos","Coos Bay",16129,"Coos Bay (Coos): 16129","Coos Bay, Coos",16
"17","Wasco","The Dalles",15276,"The Dalles (Wasco): 15276","The Dalles, Wasco",17
"18","Columbia","St. Helens",13169,"St. Helens (Columbia): 13169","St. Helens, Columbia",18
"19","Union","La Grande",13079,"La Grande (Union): 13079","La Grande, Union",19
"20","Malheur","Ontario",11045,"Ontario (Malheur): 11045","Ontario, Malheur",20
"21","Lincoln","Newport",10139,"Newport (Lincoln): 10139","Newport, Lincoln",21
"22","Baker","Baker City",9757,"Baker City (Baker): 9757","Baker City, Baker",22
"23","Clatsop","Astoria",9595,"Astoria (Clatsop): 9595","Astoria, Clatsop",23
"24","Crook","Prineville",9419,"Prineville (Crook): 9419","Prineville, Crook",24
"25","Hood River","Hood River",7476,"Hood River (Hood River): 7476","Hood River, Hood River",25
"26","Jefferson","Madras",6504,"Madras (Jefferson): 6504","Madras, Jefferson",26
"27","Curry","Brookings",6390,"Brookings (Curry): 6390","Brookings, Curry",27
"28","Tillamook","Tillamook",5063,"Tillamook (Tillamook): 5063","Tillamook, Tillamook",28
"29","Morrow","Boardman",3347,"Boardman (Morrow): 3347","Boardman, Morrow",29
"30","Lake","Lakeview",2867,"Lakeview (Lake): 2867","Lakeview, Lake",30
"31","Harney","Burns",2760,"Burns (Harney): 2760","Burns, Harney",31
"32","Wallowa","Enterprise",1872,"Enterprise (Wallowa): 1872","Enterprise, Wallowa",32
"33","Grant","John Day",1721,"John Day (Grant): 1721","John Day, Grant",33
"34","Gilliam","Arlington",571,"Arlington (Gilliam): 571","Arlington, Gilliam",34
"35","Wheeler","Fossil",403,"Fossil (Wheeler): 403","Fossil, Wheeler",35
"36","Sherman","Wasco",381,"Wasco (Sherman): 381","Wasco, Sherman",36
