"","county","name","for_geocode","lon","lat","type"
"1","baker","Wallowa Whitman National Forest","Wallowa Whitman National Forest, Baker County, Oregon",-117.263415,45.007738,"notable feature"
"2","baker","Hells Canyon National Recreation Area","Hells Canyon National Recreation Area, Baker County, Oregon",-116.871924,45.058014,"notable feature"
"3","baker","Anthony Lakes Ski Area","Anthony Lakes Ski Area, Baker County, Oregon",-118.0542452,44.9993663,"notable feature"
"4","benton","Corvallis Watershed Wild Animal Refuge","Corvallis Watershed Wild Animal Refuge, Benton County, Oregon",-123.5294325,44.5242584,"notable feature"
"5","benton","Marys Peak","Marys Peak, Benton County, Oregon",-123.5512165,44.504287,"notable feature"
"6","benton","Alsea Falls Recreational Site","Alsea Falls Recreational Site, Benton County, Oregon",-123.4899807,44.3237716,"notable feature"
"7","clackamas","Mt Hood National Forest","Mt Hood National Forest, Clackamas County, Oregon",-121.7094038,45.332175,"notable feature"
"8","clackamas","Timberline Lodge","Timberline Lodge, Clackamas County, Oregon",-121.7110071,45.3311307,"notable feature"
"9","clackamas","Trillium Lake","Trillium Lake, Clackamas County, Oregon",-121.7389868,45.2706606,"notable feature"
"10","clatsop","Lewis & Clark National & State Historical Parks","Lewis & Clark National & State Historical Parks, Clatsop County, Oregon",-123.8903148,46.1298421,"notable feature"
"11","clatsop","Haystack Rock","Haystack Rock, Clatsop County, Oregon",-123.9686225,45.8841394,"notable feature"
"12","clatsop","Fort Stevens State Park","Fort Stevens State Park, Clatsop County, Oregon",-123.95,46.197754,"notable feature"
"13","columbia","Forest Grove District State Forest","Forest Grove District State Forest, Columbia County, Oregon",-123.0632917,45.9054265,"notable feature"
"14","columbia","Collins Beach","Collins Beach, Columbia County, Oregon",-122.7869046,45.788325,"notable feature"
"15","columbia","Multnomah Channel","Multnomah Channel, Columbia County, Oregon",-122.8290458,45.7287874,"notable feature"
"16","coos","Oregon Dunes National Recreation Area","Oregon Dunes National Recreation Area, Coos County, Oregon",-124.212523,43.593794,"notable feature"
"17","coos","Sunset Bay State Park","Sunset Bay State Park, Coos County, Oregon",-124.3730409,43.3306137,"notable feature"
"18","coos","Shore Acres State Park","Shore Acres State Park, Coos County, Oregon",-124.3853185,43.3222684,"notable feature"
"19","crook","Ochoco National Forest","Ochoco National Forest, Crook County, Oregon",-120.1177754,44.3762482,"notable feature"
"20","crook","Prineville Reservoir Wildlife Area","Prineville Reservoir Wildlife Area, Crook County, Oregon",-120.7281262,44.1320164,"notable feature"
"21","crook","Ochoco Wayside State Park","Ochoco Wayside State Park, Crook County, Oregon",-120.8699043,44.3002919,"notable feature"
"22","curry","Rogue River-Siskiyou National Forest","Rogue River-Siskiyou National Forest, Curry County, Oregon",-123.9386878,42.062333,"notable feature"
"23","curry","Cape Blanco State Park","Cape Blanco State Park, Curry County, Oregon",-124.5276,42.8376089,"notable feature"
"24","curry","Floras Lake State Natural Area","Floras Lake State Natural Area, Curry County, Oregon",-124.5275542,42.8695647,"notable feature"
"25","deschutes","Mount Bachelor Ski Area","Mount Bachelor Ski Area, Deschutes County, Oregon",-121.6787834,44.0032939,"notable feature"
"26","deschutes","Tumalo Falls","Tumalo Falls, Deschutes County, Oregon",-121.5668789,44.0339557,"notable feature"
"27","deschutes","Lava River Cave","Lava River Cave, Deschutes County, Oregon",-121.3696548,43.8955327,"notable feature"
"28","douglas","Oregon Dunes National Recreation Area","Oregon Dunes National Recreation Area, Douglas County, Oregon",-124.196556,43.628083,"notable feature"
"29","douglas","Wildlife Safari","Wildlife Safari, Douglas County, Oregon",-123.4274526,43.1408674,"notable feature"
"30","douglas","Umpqua National Forest","Umpqua National Forest, Douglas County, Oregon",-122.6678268,43.25012,"notable feature"
"31","gilliam","Cottonwood Canyon Recreation Area","Cottonwood Canyon Recreation Area, Gilliam County, Oregon",-120.4110626,45.4614853,"notable feature"
"32","gilliam","J S Burres State Park","J S Burres State Park, Gilliam County, Oregon",-120.4668723,45.4771063,"notable feature"
"33","gilliam","Earl Snell Memorial Park","Earl Snell Memorial Park, Gilliam County, Oregon",-120.2030857,45.7203624,"notable feature"
"34","grant","John Day Fossil Beds National Monument","John Day Fossil Beds National Monument, Grant County, Oregon",-119.6319641,44.5445527,"notable feature"
"35","grant","Umatilla National Forest","Umatilla National Forest, Grant County, Oregon",-118.643033,44.985688,"notable feature"
"36","grant","Malheur National Forest","Malheur National Forest, Grant County, Oregon",-118.7843893,44.2832129,"notable feature"
"37","harney","Steen Mountains","Steen Mountains, Harney County, Oregon",-118.5766666,42.6363888,"notable feature"
"38","harney","Malheur National Wildlife Refuge","Malheur National Wildlife Refuge, Harney County, Oregon",-118.8450294,43.2655796,"notable feature"
"39","harney","Alvord Hot Springs","Alvord Hot Springs, Harney County, Oregon",-118.5340726,42.5440577,"notable feature"
"40","hood river","Mount Hood National Forest","Mount Hood National Forest, Hood River County, Oregon",-121.7094038,45.332175,"notable feature"
"41","hood river","Mt Hood Meadows Ski Area","Mt Hood Meadows Ski Area, Hood River County, Oregon",-121.6651001,45.33183,"notable feature"
"42","hood river","Eagle Creek","Eagle Creek, Hood River County, Oregon",-121.8813182,45.5880452,"notable feature"
"43","jackson","Bear Creek Greenway","Bear Creek Greenway, Jackson County, Oregon",-122.8088491,42.2723601,"notable feature"
"44","jackson","Cascade-Siskiyou National Monument","Cascade-Siskiyou National Monument, Jackson County, Oregon",-122.451459,42.0648593,"notable feature"
"45","jackson","Oregon Vortex","Oregon Vortex, Jackson County, Oregon",-123.084259,42.4927575,"notable feature"
"46","jefferson","The Cove Palisades State Park","The Cove Palisades State Park, Jefferson County, Oregon",-121.275071,44.542893,"notable feature"
"47","jefferson","Black Butte","Black Butte, Jefferson County, Oregon",-121.6344956,44.3995608,"notable feature"
"48","jefferson","Lake Billy Chinook","Lake Billy Chinook, Jefferson County, Oregon",-121.3742998,44.5900187,"notable feature"
"49","josephine","Oregon Caves National Monument and Preserves","Oregon Caves National Monument and Preserves, Josephine County, Oregon",-123.4042884,42.095462,"notable feature"
"50","josephine","Indian Mary Park","Indian Mary Park, Josephine County, Oregon",-123.5405105,42.5516655,"notable feature"
"51","josephine","Rogue River-Siskiyou National Forest","Rogue River-Siskiyou National Park, Josephine County, Oregon",-123.832774,42.420746,"notable feature"
"52","klamath","Crater Lake National Park","Crater Lake National Park, Klamath County, Oregon",-122.1684785,42.8684411,"notable feature"
"53","klamath","Winema National Forest","Winema National Forest, Klamath County, Oregon",-121.8136322,42.9373549,"notable feature"
"54","klamath","Klamath Marsh National Wildlife Refuge","Klamath Marsh National Wildlife Refuge, Klamath County, Oregon",-121.6927962,42.8859689,"notable feature"
"55","lake","Fremont National Forest","Fremont National Forest, Lake County, Oregon",-121.3136206,42.9373615,"notable feature"
"56","lake","Hart Mountain National Antelope Refuge","Hart Mountain National Antelope Refuge, Lake County, Oregon",-119.6546378,42.5488642,"notable feature"
"57","lake","Derrick Cave","Derrick Cave, Lake County, Oregon",-120.865801,43.5230273,"notable feature"
"58","lane","Oregon Dunes National Recreation Area","Oregon Dunes National Recreation Area, Lane County, Oregon",-124.134574,43.95002,"notable feature"
"59","lane","Sea Lion Caves","Sea Lion Caves, Lane County, Oregon",-124.1266613,44.1217891,"notable feature"
"60","lane","Three Sisters","Three Sisters, Lane County, Oregon",-121.772819,44.1356715,"notable feature"
"61","lincoln","Oregon Coast Aquarium","Oregon Coast Aquarium, Lincoln County, Oregon",-124.0172528,44.6176528,"notable feature"
"62","lincoln","Yaquina Bay State Recreation Site","Yaquina Bay State Recreation Site, Lincoln County, Oregon",-124.0347662,44.6242302,"notable feature"
"63","lincoln","South Beach State Park","South Beach State Park, Lincoln County, Oregon",-124.0320087,44.6070975,"notable feature"
"64","linn","Mount Washington","Mount Washington, Linn County, Oregon",-121.8383878,44.3323405,"notable feature"
"65","linn","Middle Santiam Wilderness","Middle Santiam Wilderness, Linn County, Oregon",-122.222859,44.5393764,"notable feature"
"66","linn","Willamette National Forest","Willamette National Forest, Linn County, Oregon",-122.353905,44.281151,"notable feature"
"67","malheur","Lake Owyhee State Park","Lake Owyhee State Park, Malheur County, Oregon",-117.2423096,43.6169402,"notable feature"
"68","malheur","Succor Creek Natural Area","Succor Creek Natural Area, Malheur County, Oregon",-117.1202115,43.4535084,"notable feature"
