"","Median Income","geography","amount"
"1",1,"washington",69743
"2",2,"clackamas",68915
"3",3,"multnomah",57449
"4",4,"hood river",56581
"5",5,"columbia",55146
"6",6,"yamhill",54951
"7",7,"morrow",54441
"8",8,"deschutes",54211
"9",9,"polk",54010
"10",NA,"oregon",53270
"11",10,"benton",52015
"12",11,"marion",50775
"13",12,"umatilla",49287
"14",13,"clatsop",47492
"15",14,"jefferson",47063
"16",15,"wasco",46814
"17",16,"linn",46782
"18",17,"jackson",46343
"19",18,"union",45564
"20",19,"lane",45222
"21",20,"tillamook",43777
"22",21,"wallowa",42349
"23",22,"douglas",42052
"24",23,"klamath",41951
"25",24,"baker",41722
"26",25,"sherman",41389
"27",26,"lincoln",41303
"28",27,"gilliam",40556
"29",28,"grant",40193
"30",29,"crook",39583
"31",30,"coos",39110
"32",31,"curry",38661
"33",32,"harney",38431
"34",33,"josephine",37867
"35",34,"malheur",34720
"36",35,"lake",33453
"37",36,"wheeler",33400
